X,Y,X,Y,Samtala
-20.6522252073583,63.946581246634,419002,383622,ÁR-001:001
-20.6543058474553,63.9469162246592,418901,383662,ÁR-001:002
-20.6521737694841,63.9464023814645,419004,383602,ÁR-001:003
-20.6524489538979,63.9465697013099,418991,383621,ÁR-001:004
-20.6519977301137,63.9465300247139,419013,383616,ÁR-001:005
-20.6527457256475,63.9464137505974,418976,383604,ÁR-001:006
-20.6409522611646,63.9519325676646,419570,384204,ÁR-001:007
-20.6398603597551,63.9427658727349,419597,383181,ÁR-001:008
-20.6839544515083,63.9368541883442,417418,382579,ÁR-001:009
-20.6958314550164,63.9489984954604,416872,383948,ÁR-001:010
-20.6444745993245,63.948348056413,419387,383809,ÁR-001:011
-20.6513404365229,63.9478296654779,419049,383760,ÁR-001:012
-20.6774214845655,63.9367511580557,417738,382559,ÁR-001:013
-20.6575899631262,63.9609298791477,418781,385228,ÁR-001:014
-20.6870891485481,63.950196082292,417304,384070,ÁR-001:015
-20.6562419889429,63.9609184936962,418847,385225,ÁR-001:016
-20.6530539764653,63.9471370045031,418963,383685,ÁR-001:017
-20.6424412299626,63.9522655011366,419498,384243,ÁR-001:018
-20.6500889702084,63.9504641034389,419118,384052,ÁR-001:019
-20.6511459768116,63.9483343778573,419060,383816,ÁR-001:020
-20.6562759557235,63.9474498495717,418806,383724,ÁR-001:021
-20.6956865201824,63.9342486233485,416835,382304,ÁR-001:022
-20.6518851027835,63.9556207983161,419045,384629,ÁR-001:023
-20.6552462284963,63.9476321968432,418857,383743,ÁR-001:024
-20.6468431314886,63.9500975528285,419276,384007,ÁR-001:025
-20.6512391663121,63.9474988345255,419053,383723,ÁR-001:026
-20.6535588525882,63.9487642521544,418943,383867,ÁR-001:027
-20.652523194247,63.9488479462916,418994,383875,ÁR-001:028
-20.650656454108,63.9486809681309,419085,383854,ÁR-001:029
-20.65940252914,63.9475304306481,418653,383737,ÁR-001:030
-20.6917680426442,63.9372200091116,417036,382630,ÁR-001:031
-20.6882566065934,63.9368306147447,417207,382582,ÁR-001:032
-20.652523194247,63.9488479462916,418994,383875,ÁR-001:033
-20.653016680073,63.9478821784396,418967,383768,ÁR-001:034
-20.6796288407651,63.9516832338819,417674,384226,ÁR-001:035
-20.6373799806231,63.9487969408848,419736,383850,ÁR-002:001
-20.641610139728,63.9478693537298,419526,383752,ÁR-002:002
-20.6122416203625,63.9435180637408,420953,383230,ÁR-002:003
-20.6224229070791,63.9400476807045,420444,382856,ÁR-002:004
-20.6377046484111,63.9487663234617,419720,383847,ÁR-002:005
-20.6374237200453,63.9485003410103,419733,383817,ÁR-002:006
-20.6356928619755,63.9499467201967,419822,383976,ÁR-002:007
-20.6359732605651,63.9502037393337,419809,384005,ÁR-002:008
-20.6401454361405,63.9489807560746,419601,383874,ÁR-002:009
-20.640277836389,63.9491497280616,419595,383893,ÁR-002:010
-20.6402694031237,63.9483153552484,419593,383800,ÁR-002:011
-20.6275229539851,63.9494652069989,420221,383912,ÁR-002:012
-20.6180353509065,63.9533318908841,420697,384331,ÁR-002:013
-20.6126528248997,63.946034772285,420940,383511,ÁR-002:014
-20.6326004660791,63.9459351657466,419962,383525,ÁR-002:015
-20.6206944322242,63.9481874872888,420552,383761,ÁR-002:016
-20.6325330560309,63.9447874192956,419962,383397,ÁR-002:017
-20.6251326333045,63.9441803993883,420323,383320,ÁR-002:018
-20.6384008653483,63.9508849376008,419692,384084,ÁR-002:019
-20.6385535069896,63.9500128377707,419682,383987,ÁR-002:020
-20.6404304395094,63.9475867217276,419583,383719,ÁR-002:021
-20.6370992980215,63.9454174034548,419740,383473,ÁR-002:022
-20.636600502698,63.9480341604958,419772,383764,ÁR-002:023
-20.6370241515997,63.9482985188647,419752,383794,ÁR-002:024
-20.6362459577984,63.9451310207186,419781,383440,ÁR-002:025
-20.6385712674241,63.9354318844521,419639,382362,ÁR-003:001
-20.6490760955808,63.9330505366119,419117,382110,ÁR-003:002
-20.639171190749,63.9338458348308,419605,382186,ÁR-003:007
-20.6384119177829,63.935496511223,419647,382369,ÁR-003:010
-20.638491406557,63.9347688112924,419641,382288,ÁR-003:011
-20.6384056579159,63.9346980072483,419645,382280,ÁR-003:012
-20.6391486350249,63.9345011035583,419608,382259,ÁR-003:013
-20.6385167677724,63.9351992143693,419641,382336,ÁR-003:014
-20.636874892746,63.9353704686629,419722,382353,ÁR-003:015
